Pos	Blue	Green	Red
170	21981108	21965140	21974000
171	21972757	21968288	21983806
172	21975967	21973099	21976285
173	21972251	21979346	21982019
174	21971876	21965401	21969805
175	21971717	21978087	21965678
176	21972792	21957241	21968702
177	21976258	21970164	21978281
178	21965586	21976508	21975042
179	21973760	21968720	21975644
180	21969885	21967505	21969368
181	21973570	21966127	21966249
182	21963625	21976875	21975347
183	21975089	21973264	21980116
184	21974088	21972884	21961708
185	21976700	21976946	21983117
186	21983739	21974869	21969165
187	21971471	21971301	21967133
188	21973125	21975076	21972637
189	21967500	21974138	21974984
190	21972529	21965447	21967313
191	21972619	21974451	21980142
192	21973744	21985075	21971529
193	21969222	21968886	21966509
194	21974715	21965289	21972132
195	21977724	21974990	21969079
196	21973825	21978736	21969955
197	21970101	21976999	21972668
198	21978844	21972064	21969399
199	21975078	21971448	21980065
200	21974464	21963098	21968627
201	21970530	21969477	21975625
202	21973136	21974048	21975102
203	21962058	21977104	21974957
204	21961057	21970756	21974422
205	21979551	21962604	21969619
206	21968758	21969821	21976881
207	21975285	21968259	21971946
208	21973324	21972516	21973399
209	21974208	21979674	21972435
210	21967812	21975075	21970057
211	21968879	21975994	21967619
212	21969860	21970897	21964942
213	21984607	21970190	21964597
214	21965906	21963664	21976655
215	21969948	21965842	21975483
216	21971099	21970055	21961000
217	21974618	21969382	21980898
218	21976346	21973795	21972255
219	21969790	21969603	21978215
220	21973138	21976838	21977415
221	21969626	21976917	21972659
222	21973239	21976202	21976526
223	21970785	21974000	21978886
224	21972579	21972369	21970520
225	21975739	21975145	21974115
226	21977143	21966647	21960313
227	21972548	21973994	21970550
228	21973106	21972005	21968469
229	21969517	21978335	21981548
230	21971231	21973256	21974075
231	21963813	21979164	21970182
232	21975283	21968297	21975498
233	21971507	21971168	21971347
234	21972226	21965073	21975465
235	21971818	21981014	21974249
236	21968740	21965148	21977274
237	21977569	21971015	21967631
238	21970866	21972862	21971681
239	21974289	21969185	21971239
240	21969938	21965772	21969426
241	21977462	21975377	21975080
242	21975475	21968246	21969311
243	21980969	21974142	21972456
244	21975338	21969311	21971649
245	21976168	21976547	21968667
246	21974772	21970914	21970129
247	21975029	21967677	21972163
248	21963235	21977505	21975993
249	21973060	21972883	21977596
250	21977889	21974161	21970030
251	21980433	21974477	21977051
252	21972482	21969347	21965517
253	21982057	21971969	21960508
254	21976279	21975651	21976178
255	21974190	21980924	21977081
