Pos	Blue	Green	Red
139	19912400	55130400	58205700
140	19542300	54038800	57611300
141	19258700	52621400	57061500
142	18875900	51687400	56819800
143	18717200	50737000	56973900
144	18331200	49377000	57517700
145	18233300	48203500	58277600
146	18038900	46975600	59201500
147	17802600	46261400	60433500
148	17726900	45258800	64740400
149	17646900	44132500	76531500
150	17563200	42992900	103040600
151	17542800	41745300	154817300
152	17667800	40238800	242781100
153	17474800	39226400	385734700
154	17324700	38589600	604378900
155	17431200	37466800	879526700
156	17579300	36669700	1191599700
157	17849100	35935900	1480492700
158	18103800	35489100	1709937800
159	18382700	34764900	1954080600
160	18972600	33892200	2201368600
161	19860800	33245100	2297392600
162	20829400	33364500	2217958800
163	22260100	33403100	1939941300
164	24626900	33437500	1537850600
165	27362400	33601000	1100610900
166	30206800	34193000	678912500
167	34465300	35310000	369393700
168	39890700	37099100	195662200
169	48011900	39345800	114597500
170	59624200	43607000	87398600
171	72308300	51267400	85022400
172	88630000	66546200	96132700
173	107685700	89756400	116087200
174	127856500	121474200	144169000
175	146436800	159291600	171498700
176	150786700	180171700	186991000
177	146597400	181482700	192974700
178	151654400	182732600	205333900
179	166820300	197751600	231600300
180	203051100	234545400	271281600
181	243366400	275719300	317303400
182	270754300	306590500	355050900
183	298624200	329344500	399044600
184	336159100	348816200	465348300
185	382856600	368464500	530460400
186	457974200	426336200	587012500
187	541714600	514291700	608913400
188	580421700	579251800	554397800
189	541653200	598523100	424009400
190	400248200	520387900	285963900
191	249312000	340098000	190868900
192	145961400	168564100	141419000
193	88645400	74800900	96665500
194	57204800	38245900	69560400
195	37394300	25795600	56810900
196	26313000	20984800	64893600
197	20921000	18552400	80879900
198	17827000	16831400	107790700
199	16316600	15866000	111380600
200	14982300	15089900	87833600
201	13951700	14304300	95517800
202	12707200	13840600	133013800
203	11726700	12999600	182090600
204	10993700	12602000	145271900
205	10348000	12120800	101213400
206	10021500	11919500	81057500
207	10002400	11660400	77940200
208	9944000	11567900	84181000
209	9861700	11621900	116200700
210	10097900	11868300	199678600
211	10286600	12246600	238939900
212	10527100	12379000	182785200
213	10408500	12206600	132726100
214	10267400	12191500	83313700
215	10085800	12202100	79640300
216	9608400	12330300	72041500
217	9377200	12709900	60203700
218	9153200	13639000	32775300
219	8778500	16714600	26594400
220	8355500	25407300	31542400
221	7874800	36623300	46318600
222	7513100	46337700	50477200
223	7300100	65667300	62311500
224	7078100	112371400	133967700
225	7109100	161990100	212637700
226	7054500	174420600	198091600
227	6930500	189351200	164792600
228	6886500	200381500	157112200
229	6958900	246133100	223311200
230	6971400	281610400	432513800
231	6970400	355171700	668247300
232	7002800	367177500	654816300
233	6983100	284019600	404974200
234	6985400	154051000	271477200
235	7144900	93402500	293303700
236	7135800	92982500	378497300
237	7219800	188050700	383982500
238	7286900	325608600	309297400
239	7265200	431565000	323529900
240	7302800	610033800	215298300
241	7475300	735615200	244323300
242	7654200	664003200	369347500
243	8048100	395668000	297450200
244	8863300	345922300	229037700
245	12612900	579652000	120330100
246	40702600	795617500	65210500
247	201060600	768134900	108749900
248	539945500	659619800	59631200
249	932952600	466044500	38677000
250	1371717900	121247000	13705400
251	1620957600	15157400	1826200
252	1300537200	4543900	708400
253	641956800	3680900	920500
254	396455900	4266700	1705700
255	3017856000	8544300	3689700
