Pos	Blue	Green	Red
142	1887590	5168740	5681980
143	1871720	5073700	5697390
144	1833120	4937700	5751770
145	1823330	4820350	5827760
146	1803890	4697560	5920150
147	1780260	4626140	6043350
148	1772690	4525880	6474040
149	1764690	4413250	7653150
150	1756320	4299290	10304060
151	1754280	4174530	15481730
152	1766780	4023880	24278110
153	1747480	3922640	38573470
154	1732470	3858960	60437890
155	1743120	3746680	87952670
156	1757930	3666970	119159970
157	1784910	3593590	148049270
158	1810380	3548910	170993780
159	1838270	3476490	195408060
160	1897260	3389220	220136860
161	1986080	3324510	229739260
162	2082940	3336450	221795880
163	2226010	3340310	193994130
164	2462690	3343750	153785060
165	2736240	3360100	110061090
166	3020680	3419300	67891250
167	3446530	3531000	36939370
168	3989070	3709910	19566220
169	4801190	3934580	11459750
170	5962420	4360700	8739860
171	7230830	5126740	8502240
172	8863000	6654620	9613270
173	10768570	8975640	11608720
174	12785650	12147420	14416900
175	14643680	15929160	17149870
176	15078670	18017170	18699100
177	14659740	18148270	19297470
178	15165440	18273260	20533390
179	16682030	19775160	23160030
180	20305110	23454540	27128160
181	24336640	27571930	31730340
182	27075430	30659050	35505090
183	29862420	32934450	39904460
184	33615910	34881620	46534830
185	38285660	36846450	53046040
186	45797420	42633620	58701250
187	54171460	51429170	60891340
188	58042170	57925180	55439780
189	54165320	59852310	42400940
190	40024820	52038790	28596390
191	24931200	34009800	19086890
192	14596140	16856410	14141900
193	8864540	7480090	9666550
194	5720480	3824590	6956040
195	3739430	2579560	5681090
196	2631300	2098480	6489360
197	2092100	1855240	8087990
198	1782700	1683140	10779070
199	1631660	1586600	11138060
200	1498230	1508990	8783360
201	1395170	1430430	9551780
202	1270720	1384060	13301380
203	1172670	1299960	18209060
204	1099370	1260200	14527190
205	1034800	1212080	10121340
206	1002150	1191950	8105750
207	1000240	1166040	7794020
208	994400	1156790	8418100
209	986170	1162190	11620070
210	1009790	1186830	19967860
211	1028660	1224660	23893990
212	1052710	1237900	18278520
213	1040850	1220660	13272610
214	1026740	1219150	8331370
215	1008580	1220210	7964030
216	960840	1233030	7204150
217	937720	1270990	6020370
218	915320	1363900	3277530
219	877850	1671460	2659440
220	835550	2540730	3154240
221	787480	3662330	4631860
222	751310	4633770	5047720
223	730010	6566730	6231150
224	707810	11237140	13396770
225	710910	16199010	21263770
226	705450	17442060	19809160
227	693050	18935120	16479260
228	688650	20038150	15711220
229	695890	24613310	22331120
230	697140	28161040	43251380
231	697040	35517170	66824730
232	700280	36717750	65481630
233	698310	28401960	40497420
234	698540	15405100	27147720
235	714490	9340250	29330370
236	713580	9298250	37849730
237	721980	18805070	38398250
238	728690	32560860	30929740
239	726520	43156500	32352990
240	730280	61003380	21529830
241	747530	73561520	24432330
242	765420	66400320	36934750
243	804810	39566800	29745020
244	886330	34592230	22903770
245	1261290	57965200	12033010
246	4070260	79561750	6521050
247	20106060	76813490	10874990
248	53994550	65961980	5963120
249	93295260	46604450	3867700
250	137171790	12124700	1370540
251	162095760	1515740	182620
252	130053720	454390	70840
253	64195680	368090	92050
254	39645590	426670	170570
255	301785600	854430	368970
