Pos	Blue	Green	Red
160	189726	338922	22013686
161	198608	332451	22973926
162	208294	333645	22179588
163	222601	334031	19399413
164	246269	334375	15378506
165	273624	336010	11006109
166	302068	341930	6789125
167	344653	353100	3693937
168	398907	370991	1956622
169	480119	393458	1145975
170	596242	436070	873986
171	723083	512674	850224
172	886300	665462	961327
173	1076857	897564	1160872
174	1278565	1214742	1441690
175	1464368	1592916	1714987
176	1507867	1801717	1869910
177	1465974	1814827	1929747
178	1516544	1827326	2053339
179	1668203	1977516	2316003
180	2030511	2345454	2712816
181	2433664	2757193	3173034
182	2707543	3065905	3550509
183	2986242	3293445	3990446
184	3361591	3488162	4653483
185	3828566	3684645	5304604
186	4579742	4263362	5870125
187	5417146	5142917	6089134
188	5804217	5792518	5543978
189	5416532	5985231	4240094
190	4002482	5203879	2859639
191	2493120	3400980	1908689
192	1459614	1685641	1414190
193	886454	748009	966655
194	572048	382459	695604
195	373943	257956	568109
196	263130	209848	648936
197	209210	185524	808799
198	178270	168314	1077907
199	163166	158660	1113806
200	149823	150899	878336
201	139517	143043	955178
202	127072	138406	1330138
203	117267	129996	1820906
204	109937	126020	1452719
205	103480	121208	1012134
206	100215	119195	810575
207	100024	116604	779402
208	99440	115679	841810
209	98617	116219	1162007
210	100979	118683	1996786
211	102866	122466	2389399
212	105271	123790	1827852
213	104085	122066	1327261
214	102674	121915	833137
215	100858	122021	796403
216	96084	123303	720415
217	93772	127099	602037
218	91532	136390	327753
219	87785	167146	265944
220	83555	254073	315424
221	78748	366233	463186
222	75131	463377	504772
223	73001	656673	623115
224	70781	1123714	1339677
225	71091	1619901	2126377
226	70545	1744206	1980916
227	69305	1893512	1647926
228	68865	2003815	1571122
229	69589	2461331	2233112
230	69714	2816104	4325138
231	69704	3551717	6682473
232	70028	3671775	6548163
233	69831	2840196	4049742
234	69854	1540510	2714772
235	71449	934025	2933037
236	71358	929825	3784973
237	72198	1880507	3839825
238	72869	3256086	3092974
239	72652	4315650	3235299
240	73028	6100338	2152983
241	74753	7356152	2443233
242	76542	6640032	3693475
243	80481	3956680	2974502
244	88633	3459223	2290377
245	126129	5796520	1203301
246	407026	7956175	652105
247	2010606	7681349	1087499
248	5399455	6596198	596312
249	9329526	4660445	386770
250	13717179	1212470	137054
251	16209576	151574	18262
252	13005372	45439	7084
253	6419568	36809	9205
254	3964559	42667	17057
255	30178560	85443	36897
