Pos	Blue	Green	Red
107	87667815	87665420	87655799
108	87657406	87655346	87649053
109	87670167	87650803	87671388
110	87653961	87644092	87657125
111	87651619	87658961	87656590
112	87666583	87666495	87657821
113	87658863	87644187	87660840
114	87664696	87672597	87662751
115	87671238	87654979	87668926
116	87661147	87658188	87659089
117	87658469	87658198	87659002
118	87656791	87668071	87666212
119	87666141	87655270	87653278
120	87659432	87655690	87655670
121	87655876	87657622	87644164
122	87660251	87667053	87655058
123	87678056	87668181	87661964
124	87654509	87656401	87649720
125	87674151	87670736	87656028
126	87661884	87660485	87655090
127	87656234	87658634	87669374
128	87655697	87689117	87659843
129	87646429	87660031	87648338
130	87659845	87640000	87669732
131	87668124	87666289	87644307
132	87661800	87655597	87665253
133	87652273	87659661	87650516
134	87656559	87659477	87665722
135	87660700	87660167	87663667
136	87666358	87651381	87674686
137	87662128	87633983	87642322
138	87661677	87679985	87656595
139	87668566	87656668	87677605
140	87662113	87672350	87676702
141	87650514	87686418	87666252
142	87673054	87641621	87648671
143	87646991	87677583	87676130
144	87666846	87685017	87659027
145	87665765	87664256	87659478
146	87668299	87666680	87652017
147	87660689	87657125	87670122
148	87646286	87660441	87645290
149	87650855	87654596	87674968
150	87649188	87663848	87666458
151	87650422	87655178	87654702
152	87659391	87681963	87664865
153	87669395	87668051	87677126
154	87632348	87650173	87666141
155	87650862	87679986	87676335
156	87650007	87658992	87662860
157	87646521	87652526	87665713
158	87657856	87649901	87657339
159	87668230	87671479	87672971
160	87667546	87668873	87671865
161	87662202	87658909	87659693
162	87673314	87646399	87656582
163	87641407	87662169	87668048
164	87640737	87644208	87644908
165	87666832	87650857	87663420
166	87660926	87656644	87658056
167	87647556	87648823	87666305
168	87666579	87659310	87658426
169	87668436	87654251	87651418
170	87667046	87660733	87650063
171	87642013	87649444	87666383
172	87660342	87646273	87668181
173	87633972	87664370	87640364
174	87645900	87667102	87660448
175	87661291	87661028	87664501
176	87651741	87667578	87667169
177	87646156	87671128	87677961
178	87648797	87651116	87651690
179	87657320	87654034	87661910
180	87651477	87647161	87662604
181	87656795	87653964	87672756
182	87652082	87664521	87656789
183	87670464	87664731	87677214
184	87667220	87658662	87666041
185	87658005	87650425	87658860
186	87659500	87668866	87635759
187	87657872	87663894	87675731
188	87668363	87651612	87653490
189	87662019	87677969	87660569
190	87644487	87663132	87656906
191	87663765	87660520	87669547
192	87663367	87651543	87662297
193	87661356	87649250	87656362
194	87667366	87667455	87681179
195	87656490	87662597	87657600
196	87663807	87663070	87657028
197	87651074	87663707	87639341
198	87673134	87644152	87668292
199	87659892	87659242	87665137
200	87656193	87654478	87660534
201	87651731	87655884	87660233
202	87659952	87678672	87645417
203	87689529	87665155	87673742
204	87653844	87674746	87654763
205	87669557	87652791	87647719
206	87659874	87654899	87643670
207	87656644	87665909	87661177
208	87671680	87677440	87666041
209	87661839	87662927	87651419
210	87659020	87674781	87658201
211	87665253	87667649	87651167
212	87660779	87667493	87663972
213	87655261	87657894	87649335
214	87661172	87652500	87650594
215	87669215	87664246	87676947
216	87652661	87671648	87652842
217	87655270	87660245	87665195
218	87663040	87665117	87652506
219	87662437	87660602	87674688
220	87642898	87655100	87664181
221	87658440	87656751	87657330
222	87663502	87634890	87664997
223	87675296	87666502	87665456
224	87667115	87665784	87672484
225	87646289	87673225	87643114
226	87646437	87626265	87656475
227	87652495	87668878	87650160
228	87664146	87661710	87652232
229	87650740	87665020	87659919
230	87640600	87649672	87662678
231	87651246	87649412	87653401
232	87675662	87660557	87661049
233	87644339	87656368	87667167
234	87656734	87674098	87673401
235	87660652	87677022	87653801
236	87675782	87662504	87661793
237	87654754	87645142	87644803
238	87655810	87665016	87666763
239	87665505	87650956	87647551
240	87672525	87652668	87664296
241	87667206	87672629	87671065
242	87669161	87678741	87659149
243	87673099	87681872	87661951
244	87668577	87650942	87660402
245	87652122	87646980	87647800
246	87649446	87651143	87657093
247	87673889	87673331	87665680
248	87669203	87649682	87667153
249	87669271	87654664	87648534
250	87652256	87662980	87647821
251	87656825	87656837	87656366
252	87638592	87655166	87662356
253	87655184	87658081	87672392
254	87643208	87669464	87659976
255	87656485	87656045	87660254
